,title,full_text,comments_count
0,Что посмотреть на этой неделе? Премьеры сериалов 7 — 13 сентября,"Что посмотреть на этой неделе? Премьеры сериалов 7 — 13 сентября. Шоу от режиссера «Классного мюзикла», драма о журналисте, расследующем свою собственную смерть, и комедия о материнстве с Кэтрин Райан.  7 сентября, понедельник — Записки юности / Record of Youth   Дорама расскажет о трех молодых людях, пытающихся построить карьеру в модельном бизнесе. Ан Чон Ха — трудолюбивая визажистка, Са Хе Джун — обычно парень, который хочет пробиться на вершину, Вон Хэ Хё — лучший друг Са Хе Джуна, популярный актер и модель, который переживает из-за того, что все считают, что он получил свою карьеру из-за богатой семьи. Объединяет ребят одно: они хотят во что бы то ни стало достичь цели.  9 сентября, среда — Очнувшийся / Woke   В центре сюжета шоу — Киф, афроамериканский иллюстратор, который наконец-то оказывается на пороге настоящего успеха и известности. Но неожиданный инцидент меняет все, и теперь Киф начинает мыслить совершенно иначе. Ему нужно будет справиться не только с новыми идеями, заполонившими голову, но и неодушевленными предметами, которые вдруг начали с ним разговаривать, а по пути не разрушить карьеру, которую он с таким трудом построил.  10 сентября, четверг — Джули и Призраки / Julie and the Phantoms   Сериал, продюсером которого выступает Кенни Ортега — режиссер «Классного мюзикла», основан на одноименном бразильском шоу. Джули — школьница, мама которой умирает, из-за чего девочка теряет свою страсть к музыке. Но однажды она встречает призраков трех мертвых музыкантов из 1995 года. Благодаря им, Джули вновь обнаруживает у себя любовь к музыке, и они вместе создают группу «Джули и Призраки».  10 сентября — Незаконченный круг любви / Yarım Kalan Aşklar   Озан — журналист, специализирующийся на самых секретных и самых горячих новостях. Однажды в погоне за такой новостью он погибает в автокатастрофе при странных обстоятельствах. Элиф, его невеста, — тоже журналистка, берется за расследование смерти любимого. Помогает ей в этом Озан, неожиданно переродившийся в другом теле.  11 сентября, пятница — The Duchess   Стендап-комик Кэтрин Райан играет мать-одиночку, живущую в Лондоне, которая, воспитывая дочь от непутевого папаши, думает о том, чтобы завести от него же еще одного ребенка.  13 сентября, воскресенье — Захват Сингапура / The Singapore Grip   An epic new drama following the lives of a British family during the Japanese invasion of Singapore.The Singapore Grip starts 13th September on ITV and @itvhub #AllNewITV@davemorrissey64 @ElizabethTan8 @LukeTreadaway @janehorrocks_ #TheSingaporeGrip pic.twitter.com/Nn0IfyadFy — ITV (@ITV) September 2, 2020  Шоу основано на одноименном романе Джеймса Гордона Фаррелла. Действие проекта разворачивается во время Второй мировой войны. Богатый торговец Уолтер Блэкетт вместе с женой Сильвией, дочерью Джоан и избалованным сыном Монти живет в Сингапуре. Дела идут неладно: работники бастуют, а сын партнера Блэкетта, встречаясь с Джоан, влюбляется в таинственную китайскую беженку.  ",4
1,Вышел трейлер второго сезона французского сериала «Семейный бизнес»,"Вышел трейлер второго сезона французского сериала «Семейный бизнес». Шоу о семье, открывшей кофейню с марихуаной.  Netflix опубликовал трейлер второго сезона драмеди «Семейный бизнес». Продолжение шоу выйдет на сервисе 11 сентября. Французский сериал о 30-летнем Джозефе, работающем в семейном кошерном магазине мяса. Узнав о легализации каннабиса, Джозеф открывает первую французскую кофейню с марихуаной. Для этого ему понадобится помощь друзей и родственников. Во втором сезоне Джо, вынужденный выбирать между выращиванием травы и воспитанием своих детей, пытается убедить свою семью бросить бизнес.  ",
2,Netflix показал тизер Emily in Paris с Лили Коллинз в главной роли,"Netflix показал тизер Emily in Paris с Лили Коллинз в главной роли. Новый проект создателя «Секса в большом городе».  Netflix выпустил тизер романтической драмеди Emily in Paris, созданием которой занимался автор культового сериала «Секс в большом городе». Главную роль в проекте исполнит Лили Коллинз. Менеджер по маркетингу Эмили из Чикаго получает работу мечты в Париже и переезжает во Францию. Здесь ей предстоит наладить новую жизнь: завести друзей, справиться с работой и найти любовь. За наряды в сериале отвечает Патриция Филд — дизайнер по костюмам «Секса в большом городе». Все эпизоды нового шоу выйдут на Netflix 2 октября.  ",10
3,Главную роль в сериале Amazon о Джеке Ричере сыграет Алан Ритчсон,"Главную роль в сериале Amazon о Джеке Ричере сыграет Алан Ритчсон. Актер известен по шоу «Штат голубая гора» и «Титаны».  Алан Ритчсон («Штат голубая гора», «Титаны») исполнит главную роль в грядущем сериала Amazon о Джеке Ричере, основанном на романах Ли Чайлда. В полнометражном фильме военного ветерана Ричера играл Том Круз. Шоураннером и сценаристом проекта выступит Ник Сантора, работавший до этого над «Карателем», «Побегом» и «Скорпионом». Сам Ли Чайлд станет продюсером проекта, как и Кристофер МакКуорри — режиссер и продюсер дилогии фильмов о Ричере. Первый сезон сериала будет основан на романе «Поле смерти». В нем Джек Ричер приезжает в Маргрейв и оказывается главным подозреваемым в убийстве, которые не случались в городе целых тридцать лет. Тогда Ричеру приходится взять расследование в свои руки. ",3
4,Анна Фэрис покидает ситком «Мамаша» после семи сезонов,"Анна Фэрис покидает ситком «Мамаша» после семи сезонов. Сериал закрывать не собираются.  Анна Фэрис, звезда ситкома «Мамаша», покидает шоу после семи сезонов. Актриса, исполнявшая одну из главных ролей, говорит, что хочет развиваться и ищет новые карьерные возможности. Канал CBS заявил, что не будут закрывать проект, как и проводить рекаст Кристи — героини Фэрис. Пока не известно, когда можно будет посмотреть, как сценаристы решат эту проблему и кто присоединится к касту шоу — дата премьеры новх эпизодов еще не объявлена. Съемки восьмого сезона должны начаться 14 сентября. Сериал Чака Лорри («Теория большого взрыва») рассказывает о матери-одиночке Кристи, которая состоит в Анонимных Алкоголиках и пытается наладить свою жизнь. Сделать это довольно трудно, так как Бонни — мама Кристи, тоже завязавшая с алкоголем, хочет восстановить отношения с дочкой.  ",10
5,Netflix выпустит аниме по фильму Зака Снайдера Army of the Dead,"Netflix выпустит аниме по фильму Зака Снайдера Army of the Dead. Сама картина выйдет только в следующем году.  Премьера фильма Зака Снайдера Army of the Dead должна состояться только в 2021 году, но Netflix уже принялся работать над расширением вселенной: сервис планирует выпустить полнометражный приквел, а также аниме сериал по картине. Аниме будет называться Army of the Dead: Lost Vegas. Шоураннером проекта выступит Джей Олива («Темный рыцарь: Возрождение легенды»), а Зак Снайдер поставит два эпизода проекта. Сценарий сериала доверили Шею Хаттену — одному из авторов Army of the Dead, он также напишет полнометражный приквел. Army of the Dead расскажет о группе наемников, которые отваживаются проникнуть в карантинную зону в Лас-Вегасе, зараженную зомби. Они решают воспользоваться ситуацией и совершить крупное ограбление. Основные съемки проекта уже завершились, но сейчас команда занимается пересъемкой сцен с Тиг Нотаро, которая заменила комика Криса Д’Елия после того, как его обвинили в харассменте.   ",9
6,Что смотреть на следующей неделе? Новые сезоны сериалов 7 — 13 сентября,"Что смотреть на следующей неделе? Новые сезоны сериалов 7 — 13 сентября. Перенесенное на сентябрь полицейское шоу с Джессикой Альбой, мультик о мальчике и его десяти сестрах и сразу три турецких сериала.  7 сентября, понедельник — Дочь посла / Sefirin Kizi   Санджар и Нарэ безумно влюблены друг в друга, но их родители запрещают им встречаться: Санджар — простой парень, а Нарэ — дочь высокопоставленного посла. Молодые люди решают пожениться тайно, но в назначенную ночь Нарэ вдруг исчезает. Санджар решает, что она предала его, но через год девушка снова появляется в его жизни. И уже не одна.  7 сентября — Запретный плод / Yasak Elma   Алихан Ташдемир — успешный бизнесмен, владелец крупной авиакомпании, который не верит в любовь и считает, что это лишь для слабаков. Зейнеп — его секретарша, которая стоит на своем и не сдается без боя. Сможет ли девушка научить трудоголика Алихана любить?  9 сентября, среда — Лучшие в Лос-Анджелесе / L.A.’s Finest    Сид Бернетт — бывшая спецагент отдела по борьбе с наркоторговлей, которая теперь служит детективом полиции в Лос-Анджелесе. Ее новый партер — Нэнси Маккенна, работающая мать. У обеих девушек сложное прошлое, вынуждающее их скрывать информацию о себе, но вместе, сражаясь с самыми опасными преступниками города, они становятся настоящей силой, с которой приходится считаться — на улицах и в жизнях друг друга. Во втором сезоне их партнерство станет лишь крепче, пока Сид и Нэнси будут бороться с наркобаронами и даже расторгать браки.  10 сентября, четверг — Дар / Atiye   Проект рассказывает о молодой художнице Атие, которая, кажется, ведет идеальную жизнь в Стамбуле: любящая семья, богатый и привлекательный парень и ее первая собственная выставка, которая вот-вот откроется. Только жизнь девушки переворачивается с ног на голову, когда один археолог обнаруживает в руинах Гёбекли-Тепе — самого древнего храма на Земле — символ, который таинственным образом связывает Атие с этим местом. Теперь художнице придется разобраться с тайнами своего прошлого, скрытыми в Гёбекли-Тепе.  11 сентября, пятница — Шумный Дом / The Loud House   В центре сюжета шоу — Линкольн и его десять сестер: Лили, Лиза, Лола, Лана, Люси, Линн, Луан, Луна, Лени и Лори. У всех девочек абсолютно разный характер, но Линкольн все равно очень их любит, пусть они иногда и ссорятся. В пятом сезоне громкие братья и сестры станут на год старше: Лори поступит в колледж, Линкольн — в среднюю школу, а Лили — в детский сад.  ",16
7,"По слухам, Джейсон Момоа может сыграть главную роль в The Witcher: Blood Origin","По слухам, Джейсон Момоа может сыграть главную роль в The Witcher: Blood Origin. Актера рассматривают на роль Первого Ведьмака.  Если верить слухам, то актер Джейсон Момоа («Аквамен») — главный кандидат на роль Первого Ведьмака в сериале The Witcher: Blood Origin, приквеле «Ведьмака». Художник SPDRMNKYXXIII представил, как Момоа впишется в проект — получилось впечатляюще.                  Посмотреть эту публикацию в Instagram                            Apparently @prideofgypsies is being considered for a role in the witcher prequel series. Would be so sick to see both #Superman and #Aquaman in the witcher universe. @henrycavill @prideofgypsies #thewitcher Публикация от  𝐒𝐏𝐃𝐑𝐌𝐍𝐊𝐘𝐗𝐗𝐈𝐈𝐈 (@spdrmnkyxxiii) 30 Авг 2020 в 8:58 PDT      The Witcher: Blood Origin расскажет о том, что происходило за 1200 лет до событий оригинального сериала — о том, как появились ведьмаки: «миры монстров, людей и эльфов слились в единое целое, и появился первый ведьмак». За сериал отвечают шоураннер «Ведьмака» Лорен Хиссрич и музыкант и сценарист Деклан де Барра. Сообщается, что Анджей Сапковский, автор оригинальной серии книг, выступит творческим консультантом проекта.   ",17
8,Создатель «Ривердэйла» работает над перезапуском «Милых обманщиц»,"Создатель «Ривердэйла» работает над перезапуском «Милых обманщиц». Фанатов ждет новая история с новыми героями.  Создатель сериалов «Ривердэйл» и «Леденящие душу приключения Сабрины» Роберто Агирре-Сакасса напишет сценарий перезапуска «Милых обманщиц». Финальный эпизод оригинала вышел всего три года назад. Подробностей пока не очень много — проект находится на ранней стадии. Известно, что перезапуск будет включать новую историю с другими героями. Канал или стриминговая платформа для шоу еще не найдены, но, вероятно, сериал отправится на HBO Max: ребутом занимается Warner Bros. TV — стрим-сервис WarnerMedia. В центре сюжета «Милых обманщиц» — четыре девушки, общая подруга которых погибает. Спустя год после ее смерти девушки начинают получать непонятные сообщения от кого-то, кто называет себя «А» и знает все их секреты. Даже те, которые знала лишь их мертвая подруга.   ",33
9,"Выпуск про конец лета: «Гравити Фолз», «Благие знамения», «Байки из петли»","Выпуск про конец лета: «Гравити Фолз», «Благие знамения», «Байки из петли». Сегодня поговорим о конце лета и его светлой грусти.  Вы знаете это время — на запах, цвет и вкус. Ночи становятся длиннее и прохладнее, воздух прозрачнее, настроение меланхоличнее. Социальные сети заполняются шутками про кабачки, детские лица мрачнеют (опять школа), взрослые тоже (скорее по привычке). И только редкий любитель сериалов пританцовывает в ожидании старта нового телевизионного сезона. Ладно, шутка, эфирное ТВ умерло, и сериалы теперь выходят, когда хотят, а не с сентября по май. Но раньше было именно так (честное слово!).  В феврале 2016 года в городе Гравити Фолз в штате Орегон закончилось лето. Встретив своё 13-летие и избавив мир от Билла Сайфера, двойняшки Диппер и Мейбл Пайнс покинули Гравити Фолз и вернулись в Калифорнию к родителям и обычной жизни. Больше на свет не вышло ни одного эпизода мультсериала. Создатель «Гравити Фолз» Алекс Хирш объяснял закрытие сериала очень просто:  «».  Когда Хирш писал сценарий, он вспоминал о том, как проводил каникулы со своей сестрой-двойняшкой у дедушки, поэтому неудивительно, что он вложил свой характер в 12-летнего Диппера, а свою сестру, Ариэль, воплотил в Мейбл. Прототипом кого стал дедушка, думаю, вы сами догадались. Ариэль в детстве была просто одержима свиньями и мечтала о таком питомце. Именно поэтому Хирш подарил её персонажу вожделенную хрюшку. Это, кстати, любимый эпизод Ариэль.  Когда автора «Гравити Фолз» спрашивают о будущем героев, он отвечает по-разному. В одном интервью Хирш заявил, что Мейбл встретит свою любовь в 28 лет и станет школьной учительницей, а Диппер будет искать приключения, как Индиана Джонс. В другом — что Диппер бы пошел работать на телевидение, а Мэйбл часто бы ездила на фестиваль Burning Man. В реальности Диппер стал мультипликатором, а Мейбл — семейным терапевтом.  Изначально было задумано, что сериал продлится всего два сезона, а для героев — одно лето. Лето кончилось, а с ним и эта история. Вероятно, у Диппер и Мейбл будет другое лето в Гравити Фолз, а может, ещё много-много лет. Но это лето закончилось, и оно никогда не повторится. Хорошо, что оно было.  Конец лета— это не просто смена сезонов, это конец детства. Момент взросления и принятия. Хирш в «Гравити Фолз» буквально говорит об этом в лоб, ставя 13-летие близнецов на 31 августа. В этот момент они переходят в разряд подростков, пройдя через испытания и изменившись за прошедшее лето. Диппер начинает больше верить в себя и становится смелее, Мейбл несколько теряет свою наивность, впереди — школьные будни и совсем другая жизнь, удивительная и пугающая, к которой нельзя быть готовым.   Ту же историю о неизбежном конце лета рассказывают нам Терри Пратчетт и Нил Гейман в  книге «Благие знамения» и одноимённом сериале. Если отвлечься от золотой парочки Кроули и Азирафеля в исполнении Теннанта и Шина, что, будем честны, почти нереально, можно рассмотреть историю мальчика Адама и его друзей. Одно лето из жизни неслучившегося антихриста. Лето с друзьями и собакой, с играми и секретами, гонками на велосипедах и нагоняем от родителей. Лето всемогущего мальчишки, который отказался от этого ради семьи, друзей и жизни в маленьком английском захолустье, где самое страшное наказание — это домашний арест «лет на сто», и всё равно на следующий день родители уже всё забудут и перестанут злиться.   «».   Но если Адам Янг и близнецы Мейбл справляются с неординарными обстоятельствами, то персонажи «Рассказов из Петли» абсолютно бессильны перед ними. Во многом это восьмисерийное обрывочное повествование сконцентрировано на неумолимости времени. Персонажи находят удивительные вещи, сталкиваются со странными происшествиями, но они бессильны что-либо изменить или исправить. Мальчишеское эхо звучит гулко, старческое — глухо. Время течёт только в одну сторону, и всё, что нам остаётся - это попробовать сохранить у себя в памяти то, что нам дорого. Действие серий происходит в разные времена года, и это тоже невозможно изменить. Но финал, финал — он про лето. Про затянувшееся лето одного мальчишки и про то, что обратно пути никогда не будет. Близкие уходят, отношения меняются. «Перемены — часть природы», — говорит один из персонажей, и всё, что нам остаётся — это принять эти перемены. В конце концов, время — не петля, время — спираль. За каждым летом будет следующее, совсем другое, а между ними есть ещё осень, зима и весна. И вот спустя несколько десятков лет ты стоишь около своего дома детства и понимаешь, что даже глазом моргнуть не успел.  ",15
